contact_id,cohort,applicant_status,children,employment_status,salary_range,relationship_and_marital_status,household_income,education_level,lgbtqi_identity,veteran_status,race_ethnicity,create_date,year,month,weekday,day,has_computer,accepted,quarter,is_weekend,computer_availability_I do not own a laptop,computer_availability_Laptop (Mac),computer_availability_Laptop (PC),computer_availability_Not Specified,employment_simplified_Full-time,employment_simplified_Not Employed,employment_simplified_Not Specified,employment_simplified_Part-time,education_category_Advanced Degree,education_category_Bachelor,education_category_High School,education_category_Some College,income_band_Other,race_simplified_Asian,race_simplified_Black/African American,race_simplified_Hispanic/Latino,race_simplified_Multiracial/Other,race_simplified_Native American/Pacific Islander,race_simplified_White only,children_category_No Children,children_category_One Child,children_category_2-3 Children,children_category_4+ Children,"ethnicity_simplified_""Some other race, ethnicity, or origin""",ethnicity_simplified_American Indian or Alaska Native,"ethnicity_simplified_American Indian or Alaska Native,White",ethnicity_simplified_Asian,ethnicity_simplified_Black or African American,ethnicity_simplified_Hispanic or Latina,"ethnicity_simplified_Hispanic or Latina,White",ethnicity_simplified_Native Hawaiian or Other Pacific Islander,ethnicity_simplified_Other,ethnicity_simplified_White,ethnicity_simplified_Would prefer not to answer
27,2020 Fall - Lehi,Assigned Cohort,2.0,Employed almost full-time (up to 35 hrs),$25K-$35K,Married,$100k - $150k,Associates Degree,Not Specified,Not Specified,White,2021-01-04 11:04:00,2021,1,0,4,1,1,1,0,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
28,Dead Lead,Non-responsive,2.0,Employed almost full-time (up to 35 hrs),$15K-$25K,Married,$75k - $100k,Some College No Degree,Not Specified,Not Specified,Would prefer not to answer,2021-01-04 11:04:00,2021,1,0,4,0,0,1,0,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
29,2020 Fall - Lehi,Assigned Cohort,2.0,Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,Some College No Degree,Not Specified,Not Specified,Hispanic or Latina,2021-01-04 11:04:00,2021,1,0,4,1,1,1,0,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
30,2020 Fall - Lehi,Assigned Cohort,3.0,Not Specified,Not Specified,Married,$100k - $150k,Associates Degree,Not Specified,Not Specified,White,2021-01-04 11:04:00,2021,1,0,4,1,1,1,0,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
31,2020 Fall - Lehi,Assigned Cohort,2.0,Employed full-time (35 hrs+),$35K-$50K,Single,$35k - $50k,High School Diploma,Not Specified,Not Specified,White,2021-01-04 11:04:00,2021,1,0,4,0,1,1,0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
32,2020 Fall - Lehi,Assigned Cohort,2.0,Employed full-time (35 hrs+),$25K-$35K,Married,$100k - $150k,Bachelor's Degree,Not Specified,Not Specified,White,2021-01-04 11:04:00,2021,1,0,4,1,1,1,0,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
33,2020 Fall - Lehi,Assigned Cohort,5.0,Employed part-time (under 20 hrs),<$15K,Married,$50k - $75k,Bachelor's Degree,Not Specified,Not Specified,White,2021-01-04 11:04:00,2021,1,0,4,1,1,1,0,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
34,Dead Lead,Declined Attending,1.0,Not Specified,I do not currently work outside the home.,Single,<$15k,Graduate or Professional Degree,Not Specified,Not Specified,Asian,2021-01-04 11:04:00,2021,1,0,4,1,0,1,0,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
35,2020 Fall - Lehi,Assigned Cohort,1.0,Not Specified,Not Specified,Single,<$15k,Bachelor's Degree,Not Specified,Not Specified,Asian,2021-01-04 11:04:00,2021,1,0,4,1,1,1,0,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
36,2020 Fall - Lehi,Assigned Cohort,2.0,Not Specified,I do not currently work outside the home.,Single,<$15k,Bachelor's Degree,Not Specified,Not Specified,White,2021-01-05 17:09:00,2021,1,1,5,1,1,1,0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
37,2020 Fall - Lehi,Assigned Cohort,2.0,Employed full-time (35 hrs+),$100K+,Married,$75k - $100k,Bachelor's Degree,Not Specified,Not Specified,White,2021-01-06 10:08:00,2021,1,2,6,1,1,1,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
